player_id,position,season,fantasy_pts,fantasy_pts_low_raw,fantasy_pts_low,fantasy_pts_high,fantasy_low_floor_applied,pg_attempts,pg_carries,pg_completions,pg_interceptions,pg_passing_tds,pg_passing_yards,pg_receiving_tds,pg_receiving_yards,pg_receptions,pg_rushing_tds,pg_rushing_yards,pg_targets,any_stat_low_n_flag,any_stat_constraint_applied,any_receiving_share_capped,any_receiving_share_normalized,display_name,team,source,low_confidence,rookie_tier,team_changed,roster_status,depth_rank,role,formation_role,depth_chart_status,projected_games,projected_games_raw,projection_run_id,composition_version,concentration_scale,concentration_calibration_version,role_discount_factor,role_discount_applied,nfl_depth_rank,projected_volume_games,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_id_unresolved,rookie_availability_cell_n,rookie_availability_fallback_used,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,td_rate_clip_applied,sentiment_score,sentiment_feature,sentiment_confidence,sentiment_coverage,sentiment_as_of,sentiment_claim_count,sentiment_source_count,sentiment_model_active,sentiment_version,fantasy_pts_season,fantasy_pts_season_low,fantasy_pts_season_high,v1_pred,v2_pred,adp,v3_p50,adp_points,accuracy_ensemble_pred,accuracy_ensemble_applied,accuracy_ensemble_arm,contract_treatment
00-0036971,QB,2026,20.025764297868882,6.232141402175591,6.232141402175591,24.752790028659515,False,29.730598168679187,3.9979998023349217,19.480896820472736,0.5500897316206018,1.748762402077633,213.345364823249,,,,0.39979998023349217,17.75344033638724,,False,False,False,False,Trevor Lawrence,JAX,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,15.315024381648376,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,34.281392912743186,230.86210034575595,27.465841920542964,117.91153249278577,2025.0,JAX,canonical_source_team_frame,False,58.0,0.5185294592832465,0.7466666666666666,high,2026-08-30,1,2,False,markdown_market_v1,340.437993063771,127.15204442703542,405.95225774619183,321.3340374061328,353.17396350219644,94.6,330.6822728372425,231.14818181818188,340.437993063771,False,incumbent,incumbent
00-0039732,QB,2026,19.161776299214264,6.149100773829947,6.149100773829947,24.083622965554817,False,32.443220122423824,4.174199218208693,20.956535566915708,0.5219935427311051,1.7200142221912873,216.5553301096904,,,,0.17405605042230968,26.20537640692175,,False,False,False,False,Bo Nix,DEN,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,15.44054459068686,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,34.86796196556067,230.06365512136918,26.57618138477283,117.91787351632537,2025.0,DEN,canonical_source_team_frame,False,7.0,0.14788464681660063,0.8333333333333333,high,2026-08-30,1,2,False,markdown_market_v1,325.75019708664246,122.72876766165373,388.9610433811141,309.17162959254745,336.80257541603913,114.7,316.09886496841864,231.14818181818188,325.75019708664246,False,incumbent,incumbent
00-0036355,QB,2026,19.497802481192267,6.33250973416535,6.33250973416535,23.96769246109426,False,31.785737976723997,4.2056303304691145,20.9459903587187,0.5230095860158813,1.6213604375489155,217.4128500526582,,,,0.2283991899409247,24.82243965889301,,False,False,False,False,Justin Herbert,LAC,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,14.906977473536433,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,34.81239421539152,230.9924120352485,26.622477258704382,118.76948607670286,2025.0,LAC,canonical_source_team_frame,False,100.0,1.4676972067944705,0.8333333333333333,high,2026-08-30,1,2,False,markdown_market_v1,331.4626421802685,123.81293519883663,380.24241073307536,300.9289124230049,351.8184620184442,110.2,315.53837010453026,231.14818181818188,331.4626421802685,False,incumbent,incumbent
00-0039851,QB,2026,20.641046053224745,4.940837880173547,4.940837880173547,23.702478396565397,False,28.671330384579925,4.33955298477633,19.35467534345575,0.653022000810917,1.4185557686316814,215.73964609595987,,,,0.2345171382072747,25.64998945825593,,False,False,False,False,Drake Maye,NE,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,14.026443916982199,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,33.745430897020356,243.75247513831914,27.01222693387557,121.7111389498118,2025.0,NE,canonical_source_team_frame,False,55.0,0.48119074692822206,0.8333333333333333,high,2026-08-30,1,2,False,markdown_market_v1,350.89778290482064,120.62918158394257,416.4706814088438,317.4715747443837,373.1819216784453,51.5,308.0498639799539,241.0777777777778,350.89778290482064,False,incumbent,incumbent
00-0033873,QB,2026,19.603883498113753,5.973273191194735,5.973273191194735,22.349192640926017,False,31.332556714565364,3.814779437034475,19.30664577382952,0.5327708030127242,1.4932637247970457,204.89724806112528,,,,0.20271806784136737,21.567076002220727,,False,False,False,False,Patrick Mahomes,KC,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,15.6095133315482,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,35.16321475705483,230.551485538654,25.943035799993208,113.16190955700952,2025.0,KC,canonical_source_team_frame,False,-46.0,-0.656622265402199,0.7466666666666666,high,2026-08-30,1,2,False,markdown_market_v1,333.2660194679338,118.3216745853064,361.7487175234194,279.98604170617784,368.7860046424378,103.5,290.12528254749856,231.14818181818188,333.2660194679338,False,incumbent,incumbent
00-0039139,RB,2026,15.799093905641701,9.519392664505247,9.519392664505247,23.162231481778218,False,,13.939350989236727,,,,,0.1941459509798049,30.060178071948556,4.347098845617557,0.6009640467439301,65.02665912242168,5.08560107863736,False,False,False,False,Jahmyr Gibbs,DET,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,15.6687067796054,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,concentration_v1_full_board,1.0,False,1.0,17.0,,,,,,,,33.93703078284322,246.21484677053076,26.80245988676499,118.24421493778567,2025.0,DET,canonical_source_team_frame,False,74.0,0.9155583497166916,0.7466666666666666,high,2026-08-30,1,2,False,markdown_market_v1,268.58459639590893,157.04429592222914,386.32373254407446,273.7688578955759,308.6088904269683,1.5,330.4033294897435,247.70840579710145,268.58459639590893,True,market_no_v3,selected
00-0034857,QB,2026,21.022766426750433,4.595956676132305,4.595956676132305,22.90784658487783,False,27.027060013810193,5.623690956288139,16.298435789020218,0.5655272547592588,1.00221104409223,186.1346698990766,,,,0.5217846453793454,28.85473069203882,,False,False,False,False,Josh Allen,BUF,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,14.054539056616985,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,33.212884173930405,232.00068123094246,28.02188237819293,133.5452190763655,2025.0,BUF,canonical_source_team_frame,False,10.0,0.14133167764225688,0.7466666666666666,high,2026-08-30,1,2,False,markdown_market_v1,357.38702925475735,99.42650718931259,371.65053473315487,279.4855501417276,409.3213486634439,33.0,291.3806363951403,277.8628571428571,357.38702925475735,False,incumbent,incumbent
00-0039918,QB,2026,17.304677083666228,5.296663536410827,5.296663536410827,22.098855554063352,False,29.223462824288397,3.069350876962395,17.787117533668003,0.47925754510841767,1.3771448003103164,205.79363272801493,,,,0.17007070228096102,20.972154445888894,,False,False,False,False,Caleb Williams,CHI,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,14.65351556232956,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,33.74412762295005,231.616563841159,27.71808021893144,128.0128941200731,2025.0,CHI,canonical_source_team_frame,False,79.0,0.8962998063121856,0.8333333333333333,high,2026-08-30,1,2,False,markdown_market_v1,294.17951042232585,108.48593953917259,354.54046125130833,269.5222164596527,310.6177063974413,91.0,287.8429797020241,231.14818181818188,294.17951042232585,False,incumbent,incumbent
00-0033077,QB,2026,17.632146035584228,5.619871060358016,5.619871060358016,21.721794155614482,False,31.73161306930223,2.6300780049667325,22.026415353832313,0.6478111540103104,1.5731554184880037,228.88226765341656,,,,0.08518203300241851,10.490927615641782,,False,False,False,False,Dak Prescott,DAL,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,13.11018395144303,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,34.85375341295928,250.071496061463,26.933211492050265,120.7564084896434,2025.0,DAL,canonical_source_team_frame,False,-82.0,-1.277171590048548,0.7466666666666666,high,2026-08-30,1,2,False,markdown_market_v1,299.7464826049319,111.79698492954344,343.66295560058836,263.12487409180716,324.1608882803484,65.7,268.74015427766744,241.0777777777778,299.7464826049319,False,incumbent,incumbent
00-0037834,QB,2026,18.787260749428462,4.6152740265634655,4.6152740265634655,21.777935696665484,False,27.04022115532436,2.795423244075435,19.66297114496798,0.6281929643183917,1.5897610443551806,218.27303063855186,,,,0.12499716982153235,11.02116064735963,,False,False,False,False,Brock Purdy,SF,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,15.690176660849977,ef567492-9579-410a-be72-0baf4d7f602d,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,34.25083482490253,240.12569369654557,26.958300492590134,112.8835201485632,2025.0,SF,canonical_source_team_frame,False,-88.0,-1.8530233936401608,0.7466666666666666,high,2026-08-30,1,2,False,markdown_market_v1,319.38343274028387,94.16853902741452,337.430829308746,257.5907025936874,360.57858617134815,88.4,302.8631903326386,231.14818181818188,319.38343274028387,False,incumbent,incumbent
